인덱스,사이클_번호,충전_용량(Ah),방전_용량(Ah),누적_용량(Ah),충전_에너지(Wh),방전_에너지(Wh),누적_에너지(Wh),쿨롱_효율(%),에너지_효율(%),최대_전압(V),충전_최종전압(V),방전_최종전압(V),단위_충전_용량(Ah/g),단위_방전_용량(Ah/g)
1,1,0.077838753,0.038738316,0.039100437,0.10780125,0.04696105,0.0608402,49.7673908,43.56262123,1.600002441,1.600002441,0.699196777,0.077838753,0.038738316
2,2,0.042319397,0.040375108,0.041044726,0.063569813,0.048941964,0.075468049,95.40567715,76.9893155,1.600002441,1.600002441,0.698890381,0.042319397,0.040375108
3,3,0.042865108,0.041198308,0.042711526,0.064404556,0.049913099,0.089959505,96.11152235,77.4993296,1.600002441,1.600002441,0.69980957,0.042865108,0.041198308
4,4,0.042942943,0.041315629,0.04433884,0.064544135,0.050041539,0.104462101,96.21052206,77.5307307,1.600002441,1.600002441,0.699349976,0.042942943,0.041315629
5,5,0.043671012,0.041356093,0.046653759,0.065568502,0.050179913,0.119850689,94.69918602,76.53051725,1.600002441,1.600002441,0.699962769,0.043671012,0.041356093
6,6,0.04355502,0.041391808,0.048816971,0.065390866,0.050232634,0.135008922,95.03338144,76.81903682,1.600002441,1.600002441,0.69980957,0.04355502,0.041391808
7,7,0.043617753,0.041518819,0.050915905,0.065467772,0.05039384,0.150082854,95.18789019,76.97503389,1.600002441,1.600002441,0.699962769,0.043617753,0.041518819
8,8,0.043667899,0.041719639,0.052864165,0.06553149,0.050626771,0.164987573,95.53846113,77.25563851,1.600002441,1.600002441,0.69980957,0.043667899,0.041719639
9,9,0.043566822,0.041884173,0.054546814,0.065387563,0.050817675,0.179557461,96.13777483,77.71764606,1.600002441,1.600002441,0.699656372,0.043566822,0.041884173
10,10,0.043573379,0.042172668,0.055947525,0.065421846,0.051173429,0.193805878,96.78539714,78.22070514,1.600002441,1.600002441,0.69980957,0.043573379,0.042172668
11,11,0.04374063,0.042051206,0.057636949,0.065587684,0.051084161,0.208309401,96.13763198,77.88681886,1.600002441,1.600002441,0.69980957,0.04374063,0.042051206
12,12,0.04363407,0.042112308,0.059158711,0.065460979,0.051188908,0.222581472,96.51244625,78.19759015,1.600002441,1.600002441,0.699503174,0.04363407,0.042112308
13,13,0.043441683,0.042145037,0.060455357,0.065194871,0.051237681,0.236538663,97.01520291,78.59158233,1.600002441,1.600002441,0.699962769,0.043441683,0.042145037
14,14,0.043486812,0.042266424,0.061675745,0.065274487,0.051397748,0.250415402,97.19365829,78.74094524,1.600002441,1.600002441,0.699656372,0.043486812,0.042266424
15,15,0.043527385,0.042342148,0.062860983,0.065340711,0.051492313,0.264263799,97.27703047,78.80586647,1.600002441,1.600002441,0.699349976,0.043527385,0.042342148
16,16,0.043467159,0.042308216,0.064019926,0.065265493,0.051438001,0.278091291,97.33374959,78.81347186,1.600002441,1.600002441,0.699503174,0.043467159,0.042308216
17,17,0.043475539,0.04231098,0.065184485,0.06527698,0.051438232,0.291930039,97.32134666,78.79995618,1.600002441,1.600002441,0.699503174,0.043475539,0.04231098
18,18,0.043548783,0.042345225,0.066388043,0.065381065,0.051498864,0.305812241,97.23629967,78.76724538,1.600002441,1.600002441,0.699962769,0.043548783,0.042345225
19,19,0.043736109,0.042336018,0.067788133,0.065643437,0.051504865,0.319950813,96.79877686,78.46155987,1.600002441,1.600002441,0.69980957,0.043736109,0.042336018
20,20,0.043651558,0.042362386,0.069077306,0.065524309,0.051547508,0.333927614,97.04667463,78.66928863,1.600002441,1.600002441,0.699503174,0.043651558,0.042362386
