인덱스,사이클_번호,충전_용량(Ah),방전_용량(Ah),누적_용량(Ah),충전_에너지(Wh),방전_에너지(Wh),누적_에너지(Wh),쿨롱_효율(%),에너지_효율(%),최대_전압(V),충전_최종전압(V),방전_최종전압(V),단위_충전_용량(Ah/g),단위_방전_용량(Ah/g)
1,1,0.881214082,0.409818497,0.471395585,1.290677668,0.567109264,0.723568404,46.5061221,43.93887627,1.60002594,1.60002594,0.699944458,0.881214082,0.409818497
2,2,0.44048935,0.403942547,0.507942388,0.662753699,0.559103579,0.827218524,91.70313579,84.3606879,1.60002594,1.60002594,0.692146912,0.44048935,0.403942547
3,3,0.460326982,0.394816851,0.573452519,0.694570823,0.547977251,0.973812096,85.76878326,78.89436652,1.60002594,1.60002594,0.696122131,0.460326982,0.394816851
4,4,0.44826652,0.384105728,0.63761331,0.677828896,0.534547499,1.117093494,85.68690976,78.86171593,1.60002594,1.60002594,0.696122131,0.44826652,0.384105728
5,5,0.427524311,0.370286541,0.69485108,0.647415598,0.516268203,1.248240888,86.61180942,79.74293563,1.60002594,1.60002594,0.699332886,0.427524311,0.370286541
6,6,0.408923919,0.355505117,0.748269881,0.620038012,0.496413512,1.371865388,86.93673831,80.06178697,1.60002594,1.60002594,0.693675842,0.408923919,0.355505117
7,7,0.387023884,0.339269901,0.796023865,0.587418644,0.474273097,1.485010935,87.66123094,80.73851614,1.60002594,1.60002594,0.696580811,0.387023884,0.339269901
8,8,0.365665971,0.322927879,0.838761957,0.555401583,0.45172789,1.588684627,88.31225893,81.33356196,1.60002594,1.60002594,0.698415527,0.365665971,0.322927879
9,9,0.345428774,0.306766992,0.877423739,0.52491239,0.429282747,1.684314271,88.80759648,81.78178965,1.60002594,1.60002594,0.699638672,0.345428774,0.306766992
10,10,0.327079369,0.291723972,0.912779136,0.497224019,0.408345713,1.773192576,89.19057551,82.12509807,1.60002594,1.60002594,0.699332886,0.327079369,0.291723972
11,11,0.308627642,0.276128456,0.945278322,0.469353821,0.386583792,1.855962605,89.46977476,82.36511019,1.60002594,1.60002594,0.694134521,0.308627642,0.276128456
