인덱스,사이클_번호,충전_용량(Ah),방전_용량(Ah),누적_용량(Ah),충전_에너지(Wh),방전_에너지(Wh),누적_에너지(Wh),쿨롱_효율(%),에너지_효율(%),최대_전압(V),충전_최종전압(V),방전_최종전압(V),단위_충전_용량(Ah/g),단위_방전_용량(Ah/g)
1,1,0.117872253,0.023069521,0.094802731,0.16978886,0.030842445,0.138946415,19.57162997,18.16517594,1.60002594,1.60002594,0.694593201,0.117872253,0.023069521
2,2,0.029262666,0.026932107,0.097133291,0.044648028,0.035987521,0.147606922,92.03572454,80.60271135,1.600178833,1.600178833,0.687865906,0.029262666,0.026932107
3,3,0.033926232,0.031939938,0.099119585,0.051734698,0.042762725,0.156578894,94.14525509,82.65772705,1.60002594,1.60002594,0.691994019,0.033926232,0.031939938
4,4,0.040956948,0.038578348,0.101498185,0.062357734,0.051749867,0.167186761,94.1924387,82.98869167,1.600178833,1.600178833,0.699638672,0.040956948,0.038578348
5,5,0.047831499,0.045212064,0.10411762,0.072684325,0.060767968,0.179103118,94.52362008,83.60532744,1.600178833,1.600178833,0.688324585,0.047831499,0.045212064
6,6,0.051800336,0.049532468,0.106385488,0.078623872,0.066648213,0.191078778,95.62190484,84.7684177,1.60002594,1.60002594,0.690006409,0.051800336,0.049532468
7,7,0.053826491,0.051501552,0.108710426,0.081653543,0.069338433,0.203393888,95.68067947,84.91784897,1.600178833,1.600178833,0.691841125,0.053826491,0.051501552
8,8,0.054397336,0.052313077,0.110794685,0.082492132,0.070466141,0.215419879,96.16845486,85.42165137,1.60002594,1.60002594,0.697498169,0.054397336,0.052313077
9,9,0.054633613,0.052537273,0.112891024,0.082835206,0.070739827,0.227515258,96.16291261,85.39826329,1.600178833,1.600178833,0.698109741,0.054633613,0.052537273
10,10,0.054629339,0.052719089,0.114801274,0.082878035,0.070960947,0.239432345,96.50325286,85.6209334,1.60002594,1.60002594,0.690923767,0.054629339,0.052719089
11,11,0.054461246,0.052427589,0.116834931,0.082688303,0.070446585,0.251674063,96.26586387,85.19534585,1.60002594,1.60002594,0.6990271,0.054461246,0.052427589
